Week,Date,App_LOC,Test_LOC,Total_LOC,App_Files,Test_Files,Total_Files,API_Routes,Components,Services,Hooks,Stores,Commits,PRs,Cumulative_Commits,Cumulative_PRs,Test_App_LOC_Ratio
1,2025-12-14,9731,10530,20261,83,61,144,17,31,3,2,2,90,1,90,1,1.08
2,2025-12-21,12761,14263,27024,100,82,182,24,36,4,2,3,111,10,201,11,1.12
3,2025-12-28,15389,17104,32493,108,93,201,26,39,5,2,4,56,11,257,22,1.11
4,2026-01-04,16446,17596,34042,112,96,208,23,40,7,3,5,16,7,273,29,1.07
5,2026-01-11,17564,18572,36136,114,99,213,23,40,9,3,5,1,1,274,30,1.06
6,2026-01-25,22304,24497,46801,136,112,248,28,47,15,4,5,7,7,281,37,1.10
7,2026-02-01,24864,26605,51469,146,120,266,31,52,16,4,5,14,5,295,42,1.07
8,2026-02-08,25983,28440,54423,149,124,273,31,52,17,4,5,24,23,319,65,1.09
9,2026-02-15,32508,37189,69697,174,142,316,35,58,24,5,5,43,19,362,84,1.14
10,2026-02-22,39313,45925,85238,204,173,377,41,67,28,5,7,45,39,407,123,1.17
11,2026-03-01,42853,50371,93224,220,187,407,43,75,29,6,7,32,37,439,160,1.18
12,2026-03-05,46277,55338,101615,233,202,435,49,80,31,7,7,10,12,449,172,1.20
